Order,Family,Genus_Species_Accepted,Genus_Accepted,PMkr2.LCVP.moldat.PvAb.Ap24,NEW_Fruit_fleshy_or_dry_rev_checked_Anna,Fruit_color,ID
Apiales,Araliaceae,Polyscias_ornifolia,Polyscias,1,fleshy,purple,118649
Apiales,Araliaceae,Polyscias_ornifolia,Polyscias,1,NA,NA,118650
Apiales,Araliaceae,Polyscias_ornifolia,Polyscias,1,NA,black,118651
Apiales,Araliaceae,Polyscias_pentamera,Polyscias,1,fleshy,purple,118654
Apiales,Araliaceae,Polyscias_purpurea,Polyscias,1,NA,NA,118574
Apiales,Araliaceae,Polyscias_purpurea,Polyscias,1,NA,NA,118575
Apiales,Araliaceae,Polyscias_purpurea,Polyscias,1,fleshy,white,118576
Apiales,Araliaceae,Polyscias_purpurea,Polyscias,1,NA,blue,118656
Apiales,Araliaceae,Polyscias_sambucifolia,Polyscias,1,fleshy,NA,118578
Apiales,Araliaceae,Polyscias_sambucifolia,Polyscias,1,NA,NA,118579
Apiales,Araliaceae,Polyscias_sambucifolia,Polyscias,1,NA,white,118659
Apiales,Araliaceae,Polyscias_schultzei,Polyscias,1,fleshy,NA,118580
Apiales,Araliaceae,Polyscias_schultzei,Polyscias,1,NA,black,118660
Apiales,Araliaceae,Polyscias_tafondroensis,Polyscias,1,fleshy,purple,118664
Apiales,Araliaceae,Polyscias_willmottii,Polyscias,1,fleshy,purple,118585
Apiales,Araliaceae,Polyscias_willmottii,Polyscias,1,NA,black,118670
Apiales,Araliaceae,Polyscias_zanthoxyloides,Polyscias,1,fleshy,purple,118672
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,NA,136368
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,fleshy,red,136369
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,red,136370
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,NA,136371
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,red,136507
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,red,136508
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,red,136509
Apiales,Araliaceae,Schefflera_actinophylla,Schefflera,1,NA,red,136510
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,Wine-red,46704
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,fleshy,green,46705
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,NA,46706
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,NA,46707
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,brown,46720
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,NA,136372
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,NA,136373
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,NA,136374
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,black,136375
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,black,136511
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,black,136512
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,black,136513
Apiales,Araliaceae,Schefflera_angustissima,Schefflera,1,NA,black,136514
Apiales,Araliaceae,Schefflera_bractescens,Schefflera,1,fleshy,white,136381
Apiales,Araliaceae,Schefflera_bractescens,Schefflera,1,NA,black,136523
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,NA,136398
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,NA,136399
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,orange;red;yellow,136400
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,NA,136401
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,NA,136402
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,NA,136403
Apiales,Araliaceae,Schefflera_elliptica,Schefflera,1,fleshy,red,136534
Apiales,Araliaceae,Schefflera_morototoni,Schefflera,1,fleshy,NA,46711
Apiales,Araliaceae,Schefflera_morototoni,Schefflera,1,fleshy,NA,46712
